temperature,pressure,vibration,current,voltage,operating_hours,failure
70.96,5.2,1.98,11.71,385.22,2480,0
63.34,5.18,2.54,11.93,384.25,1335,0
72.77,4.24,2.1,12.13,365.95,3378,0
83.28,5.27,3.17,13.89,388.69,4822,1
62.19,6.01,4.8,10.51,357.65,3133,0
62.19,4.61,1.84,10.31,370.19,4768,1
83.95,6.23,4.5,14.47,350.01,2503,0
74.21,5.84,1.83,11.07,403.38,4391,1
59.37,4.99,1.73,9.47,376.53,361,0
71.51,5.4,4.23,11.03,412.5,2469,0
59.44,6.62,4.38,11.34,392.04,2567,1
59.41,6.01,4.28,15.11,386.72,2034,0
67.9,5.51,1.03,13.85,371.21,4527,1
42.04,5.33,2.3,14.3,364.3,1359,0
44.3,5.55,4.23,13.64,387.84,4876,1
58.25,5.14,3.06,13.89,378.93,2154,0
52.85,4.03,1.39,10.62,359.91,633,0
68.77,6.93,3.69,11.6,357.25,2219,1
54.1,5.61,1.93,10.02,365.62,1623,0
48.05,5.78,5.69,11.58,407.31,2765,0
82.59,5.46,5.32,13.37,413.2,2286,0
62.29,4.99,3.91,12.27,383.07,3557,0
65.81,5.37,5.04,14.62,382.23,2689,0
47.9,4.38,3.1,9.72,374.96,4519,1
58.47,7.09,4.15,13.0,365.98,2040,1
66.33,4.64,5.22,9.5,400.63,3836,0
51.19,4.78,3.37,12.19,408.1,172,0
69.51,5.19,2.62,13.48,366.6,2987,0
57.79,6.4,0.44,11.57,378.76,1087,0
61.5,5.51,2.88,13.1,373.25,1445,0
57.78,4.63,4.24,10.08,373.7,3512,0
87.23,6.38,4.42,8.67,397.79,1886,1
64.84,6.01,3.76,13.11,360.32,1131,0
52.31,5.88,2.19,15.49,387.0,2106,0
74.87,6.0,0.03,10.01,390.92,1330,0
50.35,7.18,2.26,14.44,377.87,510,1
67.51,7.03,2.54,12.09,393.4,2405,1
41.48,5.02,2.53,9.33,382.21,1919,0
49.06,6.64,3.93,9.74,398.26,3192,1
67.36,5.77,5.98,12.03,357.17,2691,0
73.86,5.85,3.19,11.19,374.77,2602,0
67.06,4.32,2.67,9.37,378.92,761,0
63.61,5.38,2.61,8.61,339.92,1329,0
61.39,4.93,3.19,10.31,363.71,1456,0
47.26,6.08,1.76,12.39,367.8,3192,0
56.36,6.25,3.18,11.99,394.22,1773,0
59.47,4.05,3.68,11.0,369.4,1188,0
77.69,5.48,3.31,12.4,367.73,3748,0
69.12,6.29,3.69,14.08,392.26,3650,0
43.84,5.37,3.65,12.79,355.73,2060,0
68.89,6.01,0.34,11.76,348.93,3545,0
60.38,5.75,3.96,13.86,374.58,599,0
56.88,5.74,1.99,10.08,358.28,425,0
72.34,5.31,1.36,11.55,358.85,4748,1
77.37,4.65,1.34,11.6,388.6,987,0
76.18,4.71,3.65,9.53,393.14,1095,0
54.93,6.0,2.67,11.16,391.83,3773,0
61.29,5.51,0.48,7.85,396.63,3140,0
68.98,5.4,3.72,15.82,398.62,1028,0
76.71,5.2,0.84,10.13,348.07,3068,0
59.25,5.29,3.21,15.17,386.76,4503,1
62.77,6.23,3.36,12.08,372.06,2022,0
51.72,5.27,4.33,13.13,368.79,4665,1
50.65,4.56,5.67,11.02,388.41,3355,0
74.75,6.02,0.95,12.42,354.05,1754,0
81.27,5.36,2.92,13.3,353.73,724,0
64.14,5.52,2.59,13.33,389.5,4444,1
77.04,6.63,3.65,13.55,387.32,2471,1
69.34,5.49,3.32,11.26,382.05,4799,1
57.26,5.7,2.47,11.04,366.8,158,0
69.34,4.67,2.34,8.81,391.16,2416,0
83.46,5.35,1.33,13.05,390.2,1377,0
64.57,5.93,4.48,14.16,381.28,786,0
83.78,4.41,3.69,15.23,362.34,4710,1
33.56,5.64,4.38,12.61,373.62,632,0
74.86,5.57,2.53,10.47,392.57,3275,0
66.04,5.53,2.01,8.61,399.91,4004,1
61.41,6.23,1.38,14.08,375.1,4597,1
66.1,5.73,3.54,8.41,376.25,3952,0
41.15,6.53,1.44,11.32,377.57,3504,1
62.36,4.8,5.77,11.55,384.12,2868,0
69.29,5.6,1.04,11.86,371.28,3024,0
82.73,5.56,3.41,12.07,336.59,2755,0
58.78,4.75,5.35,12.28,397.89,2240,0
55.3,6.17,3.9,7.17,406.92,673,0
58.98,7.13,3.26,12.03,370.81,1665,1
75.98,5.49,1.55,7.54,364.0,1905,0
68.95,5.85,0.93,13.46,377.94,536,0
58.64,5.56,4.16,10.89,377.19,3181,0
71.16,5.0,5.26,7.69,394.93,2603,0
66.16,4.23,2.34,10.37,380.82,2562,0
76.62,5.01,1.29,10.86,368.11,3689,0
56.58,4.53,-0.69,14.38,360.22,1498,0
61.07,6.69,1.53,12.39,392.98,1654,1
60.29,5.42,2.83,12.69,388.99,2851,0
47.44,5.26,5.4,14.36,395.91,3029,0
68.55,6.12,4.01,11.81,365.48,4957,1
68.13,4.71,3.46,13.51,407.58,3927,0
65.06,4.96,2.4,13.37,353.84,4021,1
62.18,5.55,2.13,9.43,390.64,3366,0
48.02,6.22,5.11,14.95,351.36,2793,0
59.95,5.85,3.3,9.16,368.15,3044,0
60.89,5.67,-0.15,13.83,403.42,3597,0
55.37,5.55,1.99,8.97,392.47,4171,1
63.06,5.78,1.71,13.2,371.81,2074,0
69.85,5.64,2.18,15.72,372.22,966,0
87.63,4.78,3.84,11.57,381.51,1153,1
67.09,5.53,2.84,11.49,387.71,2634,0
68.09,4.75,2.88,13.22,398.77,127,0
64.11,5.56,4.97,11.34,373.16,3317,0
41.97,5.16,1.96,15.64,355.82,2435,0
64.68,7.28,5.8,12.38,382.35,4776,1
65.72,5.47,1.99,11.36,373.14,3097,0
94.56,4.52,3.13,10.92,360.49,2257,1
62.69,5.41,2.58,10.13,384.47,2791,0
68.62,5.86,3.19,10.74,376.8,3442,0
64.58,6.67,3.67,11.3,384.6,1655,1
50.98,5.09,3.65,11.02,366.58,375,0
78.71,4.39,1.87,10.68,387.3,2836,0
74.02,6.07,1.32,16.2,360.24,3782,0
74.49,4.53,6.75,9.94,367.58,1447,1
54.09,5.19,2.27,12.29,376.36,3189,0
81.83,5.32,4.05,13.19,406.13,2272,0
